sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
36747,61979.17951,15.227,61979.17951,62038.11657,3.12601,62.06307,30.07327,0.16290,92.70
36749,62277.97540,19.734,62277.97540,62280.96865,2.10102,5.09427,121.41885,0.33251,343.90
36777,61650.32472,20.313,61650.32472,61678.26352,24.63136,52.57016,333.77333,-0.02975,927.88
36778,61735.23238,23.636,61735.23238,61763.12466,55.09746,82.98973,252.19925,0.00007,703.55
36781,61646.30756,24.073,61646.30756,61678.15694,39.89196,71.74134,295.52245,-0.04032,822.69
36858,61979.16063,20.615,61979.16063,62005.04754,34.68138,60.56829,17.60954,0.14539,58.43
36871,61499.34954,23.356,61499.34954,61509.33072,26.30593,36.28711,92.67505,-0.11361,264.86
36890,62202.03955,21.207,62202.03955,62213.02604,51.53682,62.52331,277.79850,0.26068,773.95
36902,61594.30801,19.271,61594.30801,61675.11503,17.90274,98.70976,320.01017,-0.05678,890.03
36903,62269.30871,20.576,62269.30871,62292.23820,52.04986,74.97936,73.62561,0.29873,212.47
36931,61886.37686,19.766,61886.37686,61891.39779,62.39416,67.41509,175.10928,0.07896,491.55
36946,62038.27321,18.241,62038.27321,62049.15670,10.68399,21.56749,195.43191,0.19158,547.44
36976,62102.23616,16.346,62102.23616,62186.11646,8.13402,92.01432,77.11500,0.22884,222.07
36978,61979.18085,19.813,61979.18085,62038.10459,38.83462,97.75836,73.94394,0.14310,213.35
36995,61288.05276,15.964,61288.05276,61293.00577,13.43553,18.38854,73.69875,-0.22393,212.67
37024,61509.32403,17.969,61509.32403,61558.22972,26.51516,75.42086,205.99338,-0.10823,576.48
37057,62511.07902,21.277,62511.07902,62527.06226,26.37947,42.36270,353.28705,0.45650,981.54
37058,61837.33960,19.749,61837.33960,61886.17069,33.82107,82.65217,186.05762,0.06771,521.66
37078,61728.19295,22.153,61728.19295,61730.29442,49.27486,51.37634,303.39256,-0.00059,844.33
37083,61224.04830,18.982,61224.04830,61237.01008,72.01164,84.97343,217.10085,-0.29341,607.03
37101,62387.32912,19.526,62387.32912,62480.15993,3.76482,96.59564,271.10805,0.39565,755.55
37104,61233.21319,23.266,61233.21319,61286.06411,35.15388,88.00480,250.59953,-0.26717,699.15
37153,61372.15156,18.677,61372.15156,61414.16538,18.50609,60.51991,120.19922,-0.17974,340.55
37157,61172.33599,20.995,61172.33599,61232.13525,34.07272,93.87199,180.53374,-0.30130,506.47
37165,61650.33368,17.503,61650.33368,61678.15201,65.96974,93.78807,119.81528,-0.05241,339.49
37182,61418.26921,20.100,61418.26921,61437.27357,74.14104,93.14540,116.06879,-0.18504,329.19
37193,61411.26030,18.934,61411.26030,61432.06969,22.85006,43.65945,115.41136,-0.16042,327.38
37199,61802.34460,21.071,61802.34460,61821.28275,18.99669,37.93483,323.71350,0.05664,900.21
37205,61643.28552,17.870,61643.28552,61709.13725,8.82038,74.67211,50.25836,-0.02495,148.21
37212,62183.30508,18.302,62183.30508,62203.23292,5.22130,25.14913,241.72203,0.27635,674.74
37249,61495.14586,20.963,61495.14586,61499.30519,0.97346,5.13278,104.22675,-0.10197,296.62
37258,61109.23152,22.919,61109.23152,61117.06161,11.11711,18.94720,316.82110,-0.32441,881.26
37303,61845.34537,20.495,61845.34537,61845.35585,55.06854,55.07902,73.95731,0.06045,213.38
37335,61150.36241,14.585,61150.36241,61209.04578,4.72069,63.40406,42.02490,-0.29707,125.57
37344,61377.06805,19.210,61377.06805,61385.07106,3.03338,11.03639,132.13942,-0.16840,373.38
37365,62161.32621,20.739,62161.32621,62215.28624,27.31598,81.27601,261.30701,0.25134,728.59
37394,61857.31980,22.730,61857.31980,61878.35995,71.57698,92.61713,104.79396,0.05796,298.18
37417,61438.29588,21.333,61438.29588,61497.14426,21.05192,79.90029,223.22075,-0.14444,623.86
37454,62176.33446,22.755,62176.33446,62186.34561,11.81034,21.82148,249.07389,0.26864,694.95
37457,61475.32657,19.070,61475.32657,61499.23733,61.79790,85.70866,60.22239,-0.14650,175.61
37458,62069.32573,20.104,62069.32573,62097.28365,53.79529,81.75321,151.88879,0.18485,427.69
37497,62203.22623,16.664,62203.22623,62236.16143,4.99120,37.92640,78.77597,0.28785,226.63
37517,61622.22635,21.001,61622.22635,61675.10200,21.36854,74.24419,187.85250,-0.04337,526.59
37521,62393.32793,19.769,62393.32793,62426.33037,3.00162,36.00406,277.45184,0.39967,772.99
37541,61475.31127,21.773,61475.31127,61499.32715,22.29697,46.31285,324.27843,-0.12466,901.77
37574,61845.38427,22.016,61845.38427,61845.39325,48.49206,48.50104,130.61770,0.06408,369.20
